symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BLK,2019-12-13 00:00:00+00:00,498.61,503.86,495.49,501.59,455646,444.6308975286,449.3125369101,441.8486661247,447.2882852156,455646,0.0,1.0
BLK,2019-12-16 00:00:00+00:00,502.05,506.81,501.22,503.61,426876,447.6984859995,451.9431723721,446.9583411068,449.0896017014,426876,0.0,1.0
BLK,2019-12-17 00:00:00+00:00,502.29,505.22,500.1,503.53,425123,447.9125037998,450.5253044451,445.9595913721,449.0182624347,425123,0.0,1.0
BLK,2019-12-18 00:00:00+00:00,499.49,503.17,498.17,503.17,542930,445.415629463,448.6972357342,444.2385315613,448.6972357342,542930,0.0,1.0
BLK,2019-12-19 00:00:00+00:00,502.34,503.86,499.02,499.34,428327,447.9570908415,449.3125369101,444.9965112707,445.2818683378,428327,0.0,1.0
BLK,2019-12-20 00:00:00+00:00,499.59,506.36,499.42,506.36,967572,445.5048035464,451.5418889965,445.3532076046,451.5418889965,967572,0.0,1.0
BLK,2019-12-23 00:00:00+00:00,499.66,502.82,497.61,501.62,361212,445.5672254049,448.3851264421,443.739156694,447.3150374406,361212,0.0,1.0
BLK,2019-12-24 00:00:00+00:00,499.64,500.76,497.44,500.3,126394,445.5493905882,446.5481403229,443.5875607521,446.137939539,126394,0.0,1.0
BLK,2019-12-26 00:00:00+00:00,503.24,503.26,499.73,499.84,156969,448.7596575926,448.7774924093,445.6296472633,445.7277387551,156969,0.0,1.0
BLK,2019-12-27 00:00:00+00:00,503.01,504.55,501.62,503.25,221678,448.5545572007,449.9278380859,447.3150374406,448.768575001,221678,0.0,1.0
BLK,2019-12-30 00:00:00+00:00,500.84,504.0,499.59,504.0,276150,446.6194795897,449.4373806269,445.5048035464,449.4373806269,276150,0.0,1.0
BLK,2019-12-31 00:00:00+00:00,502.7,502.89,498.28,500.76,296863,448.278117542,448.4475483005,444.3366230531,446.5481403229,296863,0.0,1.0
BLK,2020-01-02 00:00:00+00:00,508.98,510.0,504.92,510.0,560412,453.8782499831,454.7878256344,450.2577821947,454.7878256344,560412,0.0,1.0
BLK,2020-01-03 00:00:00+00:00,503.57,506.7,501.52,501.72,337321,449.0539320681,451.8450808803,447.2258633572,447.4042115241,337321,0.0,1.0
BLK,2020-01-06 00:00:00+00:00,504.0,504.77,498.51,500.17,410915,449.4373806269,450.1240210695,444.5417234451,446.0220132305,410915,0.0,1.0
BLK,2020-01-07 00:00:00+00:00,507.22,509.82,502.88,502.88,454118,452.3087861143,454.6273122842,448.4386308922,448.4386308922,454118,0.0,1.0
BLK,2020-01-08 00:00:00+00:00,507.1,510.14,502.24,507.77,726510,452.2017772141,454.9126693512,447.8679167581,452.7992435733,726510,0.0,1.0
BLK,2020-01-09 00:00:00+00:00,513.1,514.82,510.6,513.88,477112,457.5522222216,459.0860164571,455.3228701351,458.2477800725,477112,0.0,1.0
BLK,2020-01-10 00:00:00+00:00,512.18,515.24,510.41,514.51,483959,456.7318206538,459.4605476076,455.1534393766,458.8095767983,483959,0.0,1.0
BLK,2020-01-13 00:00:00+00:00,523.11,523.45,513.27,513.27,651788,466.4785479757,466.7817398595,457.7038181635,457.7038181635,651788,0.0,1.0
BLK,2020-01-14 00:00:00+00:00,518.32,525.0,516.52,520.15,923557,462.2071093781,468.163938153,460.6019758758,463.8389951053,923557,0.0,1.0
BLK,2020-01-15 00:00:00+00:00,530.26,531.62,518.5,518.5,1005148,472.8544949429,474.0672624779,462.3676227283,462.3676227283,1005148,0.0,1.0
BLK,2020-01-16 00:00:00+00:00,535.0,536.91,530.25,536.91,778085,477.0813464988,478.7845714929,472.8455775346,478.7845714929,778085,0.0,1.0
BLK,2020-01-17 00:00:00+00:00,535.24,539.2,533.23,537.06,669111,477.2953642991,480.826658004,475.5029652216,478.918332618,669111,0.0,1.0
BLK,2020-01-21 00:00:00+00:00,529.14,534.15,527.76,532.01,775789,471.8557452082,476.3233667894,470.6251428565,474.4150414034,775789,0.0,1.0
BLK,2020-01-22 00:00:00+00:00,536.86,539.63,531.34,532.53,778123,478.7399844511,481.2101065629,473.8175750443,474.8787466374,778123,0.0,1.0
BLK,2020-01-23 00:00:00+00:00,541.94,544.0,532.88,533.6,804476,483.2700278908,485.10701401,475.1908559295,475.8329093304,804476,0.0,1.0
BLK,2020-01-24 00:00:00+00:00,536.84,547.35,532.76,544.42,751151,478.7221496344,488.0943458058,475.0838470294,485.4815451605,751151,0.0,1.0
BLK,2020-01-27 00:00:00+00:00,523.81,530.33,519.61,522.0,516487,467.1027665599,472.9169168013,463.3574550547,465.4887156493,516487,0.0,1.0
BLK,2020-01-28 00:00:00+00:00,529.97,533.77,525.15,527.96,496575,472.5958901009,475.9845052723,468.2976992782,470.8034910234,496575,0.0,1.0
BLK,2020-01-29 00:00:00+00:00,536.49,542.17,532.37,534.45,434621,478.4100403423,483.4751282827,474.7360681039,476.5908890398,434621,0.0,1.0
BLK,2020-01-30 00:00:00+00:00,539.69,540.26,528.91,531.04,510956,481.263611013,481.7719032887,471.6506448162,473.5500527939,510956,0.0,1.0
BLK,2020-01-31 00:00:00+00:00,527.35,539.09,525.18,537.94,646405,470.2595291143,480.7285665122,468.3244515033,479.7030645525,646405,0.0,1.0
BLK,2020-02-03 00:00:00+00:00,530.08,537.15,529.8,530.23,503076,472.6939815927,478.9985892932,472.444294159,472.8277427179,503076,0.0,1.0
BLK,2020-02-04 00:00:00+00:00,535.24,540.32,531.45,538.17,851764,477.2953642991,481.8254077388,473.9156665361,479.9081649444,851764,0.0,1.0
BLK,2020-02-05 00:00:00+00:00,543.48,546.6809,537.47,543.84,942967,484.643308776,487.4976820134,479.2839463602,484.9643354765,942967,0.0,1.0
BLK,2020-02-06 00:00:00+00:00,554.67,555.24,541.33,548.07,824380,494.621888715,495.1301809907,482.7260659817,488.7363992067,824380,0.0,1.0
BLK,2020-02-07 00:00:00+00:00,555.74,556.01,549.5,550.0,712908,495.576051408,495.8168214333,490.0115886002,490.4574590175,712908,0.0,1.0
BLK,2020-02-10 00:00:00+00:00,561.1,561.25,553.3,553.44,744092,500.3557822813,500.4895434065,493.4002037716,493.5250474884,744092,0.0,1.0
BLK,2020-02-11 00:00:00+00:00,570.44,571.31,563.88,564.05,598939,508.6846416762,509.4604562023,502.8348218014,502.9864177433,598939,0.0,1.0
BLK,2020-02-12 00:00:00+00:00,572.48,576.81,570.01,574.84,426308,510.5037929788,514.3650307925,508.3011931174,512.6083013484,426308,0.0,1.0
BLK,2020-02-13 00:00:00+00:00,568.55,572.75,567.37,568.69,479675,506.9992514989,510.7445630041,505.9469973141,507.1240952157,479675,0.0,1.0
BLK,2020-02-14 00:00:00+00:00,565.94,568.92,562.71,565.74,472387,504.6718079206,507.3291956077,501.791485025,504.4934597537,472387,0.0,1.0
BLK,2020-02-18 00:00:00+00:00,564.81,565.22,562.31,565.0,403248,503.6641407776,504.0297545197,501.4347886911,503.8335715361,403248,0.0,1.0
BLK,2020-02-19 00:00:00+00:00,572.07,573.0,566.19,567.98,383199,510.1381792366,510.9674982128,504.8947431293,506.4909592232,383199,0.0,1.0
BLK,2020-02-20 00:00:00+00:00,566.92,572.95,560.62,570.0,475199,505.5457139385,510.922911171,499.9277466807,508.292275709,475199,0.0,1.0
BLK,2020-02-21 00:00:00+00:00,557.0,564.85,555.0,563.41,494166,496.6996448595,503.699810411,494.9161631904,502.4157036092,494166,0.0,1.0
BLK,2020-02-24 00:00:00+00:00,528.0,541.31,527.65,536.05,1063723,470.8391606568,482.708231165,470.5270513647,478.0176743751,1063723,0.0,1.0
BLK,2020-02-25 00:00:00+00:00,506.0,531.13,502.47,530.26,1064638,451.2208622961,473.630309469,448.07301715,472.8544949429,1064638,0.0,1.0
BLK,2020-02-26 00:00:00+00:00,508.47,517.96,505.49,508.17,959597,453.4234621575,461.8860826776,450.7660744704,453.1559399071,959597,0.0,1.0
BLK,2020-02-27 00:00:00+00:00,475.82,500.86,475.78,495.64,1286028,424.3081239085,446.6373144064,424.2724542752,441.9824272499,1286028,0.0,1.0
BLK,2020-02-28 00:00:00+00:00,463.01,465.41,449.02,459.25,2039345,412.8849238176,415.0251018206,400.4094695419,409.5319782796,2039345,0.0,1.0
BLK,2020-03-02 00:00:00+00:00,487.94,488.18,461.57,467.14,1278214,435.1160228236,435.3300406239,411.6008170158,416.5678134644,1278214,0.0,1.0
BLK,2020-03-03 00:00:00+00:00,482.07,503.98,476.18,488.34,1589322,429.8815041246,449.4195458102,424.629150609,435.4727191574,1589322,0.0,1.0
BLK,2020-03-04 00:00:00+00:00,495.31,497.77,479.3,488.09,1174480,444.925172004,447.1349313933,430.5437704498,438.4396180239,1174480,3.63,1.0
BLK,2020-03-05 00:00:00+00:00,472.47,482.4,464.58,477.37,1022206,424.4085441778,433.3284265908,417.3211451608,428.810097433,1022206,0.0,1.0
BLK,2020-03-06 00:00:00+00:00,450.41,458.96,440.52,452.04,1460335,404.5925717678,412.27283306,395.7086204017,406.0567619323,1460335,0.0,1.0
BLK,2020-03-09 00:00:00+00:00,419.01,436.1,405.15,411.39,1478169,376.3866998877,391.7382397103,363.9365921088,369.5418354378,1478169,0.0,1.0
BLK,2020-03-10 00:00:00+00:00,459.0,459.02,434.23,441.33,1608329,412.308764107,412.3267296305,390.058463264,396.4362241031,1608329,0.0,1.0
BLK,2020-03-11 00:00:00+00:00,430.97,447.99,422.17,445.0,1257962,387.130082935,402.4187434254,379.2252525992,399.7328976636,1257962,0.0,1.0
BLK,2020-03-12 00:00:00+00:00,386.22,420.0,383.43,398.38,1669389,346.932224125,377.2759933005,344.4260335981,357.8552624073,1669389,0.0,1.0
